price,discount,selling_proposition,product_title,rank_number,rank_type,rank_category,is_ranked
22.6,25,0,"New Men's Shoes, Fashionable All-Match Casual Sports Shoes In Microfiber Leather, Low-Cut Slip-Resistant Sole, Suitable For All Seasons",9.0,Best Seller,In Beige Men Sneakers,1
6.11,14,30,1pc Black Lightweight Portable Nylon Adjustable Golf Bag,,,,0
10.0,0,200,GLOWMODE Tiny Titan Water-Resistant Belt Bag,,,,0
0.56,67,0,1 novel homework dice game - couple creative gift,2.0,Best Sellers,Dice Games,1
2.05,18,0,"5pcs Waterproof Phone Case, Casual Waterproof Phone Pouch Cellphone PVC Bag For Vacation Beach Sports Bag School Supplies School Stuff For School For Studen",4.0,Best Sellers,Functional Bags,1
13.89,14,2300,SHEIN EZwear Women's Vintage Printed Hoodie,,,,0
5.45,49,0,SHEIN Street Sport Drop Shoulder Drawstring Hollow Out Super Crop Sports Hoodie Without Cami Top,6.0,Best Sellers,Plain Women Sports Sweatshirts,1
11.09,13,1400,SHEIN EZwear Slogan Print Kangaroo Pocket Fleece Lined Hoodie,,,,0
9.86,31,0,Daily&Casual Plus Size Letter Printed Drawstring Hooded Sleeveless Sports Hoodie,4.0,Best Sellers,Regular Fit Plus Size Sports Tops,1
14.59,13,3400,SHEIN EZwear Women's Hooded Star And Letter Print Fleece Sweatshirt,,,,0
8.89,13,1700,SHEIN EZwear Women'S Cartoon Duck Printed Crew Neck Sweatshirt,,,,0
